Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2520000,1.1752357,145.8709677419355,0.27091545,0.49364515538177184,0.49364515538177184,1.0
2530000,1.1174867,154.2173913043478,0.28022814,0.3772231824156167,0.3772231824156167,1.0
2540000,1.1224995,135.1095890410959,0.31688896,0.422054795777961,0.422054795777961,1.0
2550000,1.1312362,168.21428571428572,0.16760524,0.24964642098971776,0.24964642098971776,1.0
2560000,1.1367459,151.4264705882353,0.25396147,0.4239552174486331,0.4239552174486331,1.0
2570000,1.1527905,178.92727272727274,0.25701594,0.521821420107569,0.521821420107569,1.0
2580000,1.0829388,149.24285714285713,0.23464827,0.46341158622416895,0.46341158622416895,1.0
2590000,1.0952526,141.79710144927537,0.34235322,0.48159142008849554,0.48159142008849554,1.0
2600000,1.1414083,165.33333333333334,0.21367298,0.39714999000231427,0.39714999000231427,1.0
2610000,1.1017923,149.87692307692308,0.31274214,0.4446892259212641,0.4446892259212641,1.0
2620000,1.0650862,170.9322033898305,0.31552273,0.41268275138633004,0.41268275138633004,1.0
2630000,1.0981716,161.1875,0.25672817,0.3918906191829592,0.3918906191829592,1.0
2640000,1.1339985,137.15714285714284,0.2862465,0.2936056285676822,0.2936056285676822,1.0
2650000,1.0728183,141.83098591549296,0.4705828,0.5088085653526443,0.5088085653526443,1.0
2660000,1.0888183,139.42857142857142,0.4260775,0.4603605587297762,0.4603605587297762,1.0
2670000,1.1244985,147.88235294117646,0.38991013,0.43623822861734557,0.43623822861734557,1.0
2680000,1.1103112,150.03076923076924,0.28745905,0.19906768546654627,0.19906768546654627,1.0
2690000,1.0531409,139.5068493150685,0.39509904,0.49394999589357114,0.49394999589357114,1.0
2700000,1.0791594,133.82191780821918,0.5276697,0.6985648663060086,0.6985648663060086,1.0
2710000,1.1523758,155.66129032258064,0.35063788,0.3235870998713278,0.3235870998713278,1.0
2720000,1.1588404,205.9,0.20296878,0.061987995505332946,0.061987995505332946,1.0
2730000,1.1164848,174.78181818181818,0.2794115,0.1641636238856749,0.1641636238856749,1.0
2740000,1.1710532,147.0857142857143,0.2938394,0.18988000026771001,0.18988000026771001,1.0
2750000,1.1068865,156.375,0.40900493,0.4958825352646056,0.4958825352646056,1.0
2760000,1.0817987,126.82666666666667,0.45221674,0.33271842214621994,0.33271842214621994,1.0
2770000,1.1566465,161.28125,0.35373503,0.11794602681720068,0.11794602681720068,1.0
2780000,1.2059102,163.40677966101694,0.21342012,0.20031999349594115,0.20031999349594115,1.0
2790000,1.1105906,163.43548387096774,0.28860578,0.39599032291481573,0.39599032291481573,1.0
2800000,1.1217977,135.09333333333333,0.3096098,0.3438432426066012,0.3438432426066012,1.0
2810000,1.1314726,158.54237288135593,0.29537368,0.4389166596035163,0.4389166596035163,1.0
2820000,1.1844093,168.53225806451613,0.25792488,0.311190316994344,0.311190316994344,1.0
2830000,1.1351098,143.0142857142857,0.27314436,0.3578144897153412,0.3578144897153412,1.0
2840000,1.102419,119.55421686746988,0.33201045,0.3436457854078477,0.3436457854078477,1.0
2850000,1.1288123,149.3968253968254,0.30958694,0.563190626911819,0.563190626911819,1.0
2860000,1.1458416,162.421875,0.20555604,0.23933749669231474,0.23933749669231474,1.0
2870000,1.119303,135.32432432432432,0.30249336,0.5301506780598262,0.5301506780598262,1.0
